wl,n
2997924.58,16.1921611752714
2725385.98181818,16.1435637001826
2498270.48333333,16.0909847290189
2306095.83076923,16.0345842803491
2141374.7,15.9745298084816
1998616.38666667,15.9109949253348
1873702.8625,15.8441581333511
1763485.04705882,15.7742015850463
1665513.65555556,15.7013098831606
1577855.04210526,15.6256689335849
1498962.29,15.5474648613315
1427583.13333333,15.4668829978803
1362692.99090909,15.3841069463018
1303445.46956522,15.2993177286997
1249135.24166667,15.2126930187608
1199169.832,15.1244064605851
1153047.91538462,15.0346270735166
1110342.43703704,14.9435187414232
1070687.35,14.8512397837842
1033767.09655172,14.7579426050436
999308.193333333,14.6637734179694
967072.44516129,14.5688720362101
936851.43125,14.4733717308568
908461.993939394,14.377399145576
881742.523529412,14.2810742647657
856549.88,14.1845104291868
832756.827777778,14.0878143936131
810249.886486487,13.9910864212137
788927.521052632,13.8944204096102
768698.61025641,13.7979040438313
749481.145,13.701618971696
731201.117073171,13.6056409974908
713791.566666667,13.5100402901521
697191.762790698,13.4148816025119
681346.495454545,13.3202244985133
666205.462222222,13.2261235856347
651722.734782609,13.1326287500894
637856.293617021,13.039785392669
624567.620833333,12.9476346633911
611821.342857143,12.8562136933741
599584.916,12.7655558226105
587828.349019608,12.6756908225342
576523.957692308,12.5866451124776
565646.147169811,12.4984419692988
555171.218518518,12.4111017296195
545077.196363636,12.3246419842599
535343.675,12.2390777645778
525951.680701754,12.1544217205354
516883.548275862,12.0706842904032
508122.810169492,11.9878738620987
499654.096666667,11.9059969262202
491463.045901639,11.8250582208941
483536.222580645,11.7450608686041
475861.044444444,11.6660065052027
468425.715625,11.5878954013412
461219.166153846,11.5107265765744
454230.996969697,11.4344979064147
447451.429850746,11.3592062226216
440871.261764706,11.2848474070212
434481.823188406,11.2114164791547
428274.94,11.1389076780529
422242.898591549,11.0673145384358
416378.413888889,10.9966299616292
410674.6,10.9268462814858
405124.943243243,10.8579553255905
399723.277333333,10.789948472021
394463.760526316,10.722816701927
389340.854545455,10.6565506481789
384349.305128205,10.5911406403283
379484.124050633,10.5265767461118
374740.5725,10.4628488097189
370114.145679012,10.3999464870329
365600.558536585,10.3378592780449
361195.73253012,10.2765765566282
356895.783333333,10.2160875978538
352697.009411765,10.1563816030123
348595.881395349,10.0974477225039
344589.032183908,10.0392750767431
340673.247727273,9.98185277522128
336845.458426966,9.92516993385616
333102.731111111,9.86921569075399
329442.261538462,9.81397922049908
325861.367391304,9.75944974707927
322357.48172043,9.70561655554876
